,Unnamed: 0,Unnamed: 0.1,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Not Stated,Machinery,Labourers,Community,Technicians,Sales,Clerical,Managers,Professionals,Born in Australia,Total
0,0,0,Abbotsford,627,319.0,535.0,4740.0,1582.0,997.0,92,78,182,472,396,378,541,860,2179,4512,8184
1,1,1,Aberfeldie,647,179.0,897.0,850.0,1281.0,684.0,37,43,92,203,218,242,336,384,564,3021,3897
2,2,2,Airport West,757,463.0,1012.0,2240.0,1920.0,1932.0,71,225,246,365,503,371,605,466,758,5064,7564
3,3,3,Albanvale,787,371.0,1000.0,1621.0,1373.0,1129.0,55,289,418,208,321,201,233,121,199,2287,5491
4,4,4,Albert Park,797,367.0,938.0,1469.0,1943.0,1493.0,69,22,76,184,159,263,327,760,1209,4095,6215
5,5,5,Albion,837,340.0,600.0,2022.0,978.0,791.0,49,203,350,237,277,178,229,138,307,1847,4731
6,6,6,Alphington,1047,222.0,955.0,1443.0,1585.0,881.0,30,46,105,234,194,226,327,500,1160,3765,5080
7,7,7,Altona,1057,668.0,1565.0,2836.0,3008.0,2692.0,85,295,313,488,648,421,787,729,1331,6955,10762
8,8,8,Altona Meadows,1127,1180.0,3056.0,5669.0,5404.0,3849.0,162,938,989,949,1267,836,1426,800,1538,11336,19160
9,9,9,Altona North,1137,933.0,1948.0,3444.0,2676.0,3163.0,91,368,407,442,694,455,663,577,935,6589,12152
10,10,10,Ardeer,1507,224.0,478.0,1043.0,704.0,650.0,39,156,186,157,167,86,154,94,216,1438,3103
11,11,11,Armadale,1587,461.0,1179.0,3270.0,2139.0,2002.0,81,47,162,391,267,464,646,910,1919,5811,9054
12,12,12,Ascot Vale,1757,1062.0,2252.0,5158.0,4054.0,2232.0,116,215,411,782,591,600,1005,1208,2684,9499,14750
13,13,13,Ashburton,1787,519.0,1646.0,1726.0,2344.0,1533.0,52,56,151,295,253,292,459,706,1401,5395,7751
14,14,14,Ashwood,1807,405.0,1200.0,2043.0,1773.0,1466.0,52,87,189,306,318,302,415,473,984,3883,6886
15,15,15,Aspendale,1817,446.0,1428.0,1586.0,2120.0,1359.0,56,95,161,365,445,337,554,531,976,5235,6940
16,16,16,Aspendale Gardens,1837,332.0,1444.0,1407.0,2108.0,1229.0,66,171,227,349,454,420,541,445,737,4319,6530
17,17,17,Attwood,1857,151.0,791.0,772.0,1217.0,478.0,43,110,154,159,278,228,326,218,314,2491,3419
18,18,18,Avondale Heights,1957,636.0,1701.0,2825.0,2890.0,3589.0,117,283,391,402,639,520,793,589,1069,6178,11633
19,19,19,Bacchus Marsh,2047,363.0,1155.0,1416.0,1607.0,1851.0,48,266,265,303,418,241,366,301,460,5076,6394
20,20,20,Balaclava,2197,319.0,593.0,2535.0,1262.0,690.0,55,65,154,316,257,259,380,501,1166,3140,5396
21,21,21,Balwyn,2557,536.0,2734.0,2981.0,3729.0,3326.0,121,95,221,473,373,609,794,1083,2156,7361,13312
22,22,22,Balwyn North,2597,820.0,4831.0,4079.0,6188.0,4488.0,182,157,397,744,637,1051,1212,1680,3270,11784,20406
23,23,23,Bayswater,3337,793.0,1784.0,3616.0,2895.0,2680.0,86,373,552,670,971,525,813,525,1076,7389,11758
24,24,24,Bayswater North,3387,645.0,1435.0,2677.0,2304.0,1724.0,60,310,442,482,799,434,687,417,824,6299,8789
25,25,25,Beaconsfield,3417,365.0,1654.0,1425.0,2217.0,1046.0,68,164,317,336,583,441,599,492,606,5280,6714
26,26,26,Beaconsfield Upper,3457,151.0,683.0,535.0,903.0,592.0,24,63,97,125,268,136,224,269,283,2305,2861
27,27,27,Beaumaris,3547,541.0,2884.0,2019.0,4235.0,3651.0,88,80,207,532,463,705,873,1423,1973,9655,13349
28,28,28,Bellfield,3787,141.0,253.0,635.0,436.0,323.0,12,49,75,109,99,69,102,85,196,1104,1793
29,29,29,Bentleigh,4117,1008.0,3247.0,3860.0,4907.0,3142.0,88,184,351,697,743,746,1132,1373,2580,9935,16153
30,30,30,Bentleigh East,4127,1867.0,5551.0,6397.0,8158.0,5675.0,210,395,731,1279,1484,1306,1993,2047,3772,17265,27635
31,31,31,Berwick,4297,3370.0,11033.0,11745.0,13493.0,8019.0,313,1247,1747,2308,3367,2524,3678,3171,4759,31139,47674
32,32,32,Black Rock,4627,270.0,1188.0,1000.0,1893.0,1808.0,50,29,77,242,219,277,394,661,948,4399,6159
33,33,33,Blackburn,4637,724.0,2583.0,3557.0,3867.0,3218.0,106,154,333,588,594,569,887,1074,2372,9224,13940
34,34,34,Blackburn North,4657,479.0,1576.0,1865.0,2039.0,1487.0,45,123,229,305,399,349,497,466,1006,4587,7436
35,35,35,Blackburn South,4667,621.0,2011.0,2418.0,2891.0,2847.0,53,124,285,434,500,428,651,690,1531,6775,10793
36,36,36,Bonbeach,5007,439.0,852.0,1859.0,1769.0,1497.0,48,147,224,309,493,285,519,397,766,4394,6416
37,37,37,Boronia,5327,1494.0,3390.0,6512.0,5646.0,5151.0,162,684,1072,1202,1925,1065,1634,1108,1988,15658,22195
38,38,38,Box Hill,5477,490.0,1528.0,5099.0,2411.0,1865.0,113,113,414,561,594,509,605,568,1462,4037,11395
39,39,39,Braybrook,5697,628.0,1619.0,3421.0,2132.0,1392.0,104,391,610,405,451,346,363,262,558,3319,9195
40,40,40,Briar Hill,5807,228.0,502.0,763.0,848.0,796.0,31,50,94,142,204,121,262,211,448,2514,3152
41,41,41,Brighton,5957,1082.0,4451.0,4382.0,6879.0,6460.0,217,89,258,787,531,989,1222,2615,4014,15827,23253
42,42,42,Brighton East,5997,800.0,3385.0,2683.0,4861.0,4258.0,104,112,206,590,475,714,939,1594,2521,10733,15998
43,43,43,Broadmeadows,6127,1028.0,2534.0,4015.0,2681.0,1706.0,95,467,588,510,515,287,318,168,336,5187,11970
44,44,44,Brookfield,6207,980.0,2076.0,2896.0,1971.0,1284.0,82,437,412,472,603,434,615,379,474,6018,9216
45,45,45,Brooklyn,6227,126.0,211.0,779.0,423.0,307.0,19,75,105,99,141,93,126,123,181,1020,1856
46,46,46,Brunswick,6377,1107.0,2248.0,12436.0,5298.0,3383.0,218,285,682,1509,1243,1055,1692,1926,5857,15011,24473
47,47,47,Brunswick East,6427,475.0,1078.0,6233.0,2350.0,1367.0,95,117,288,689,579,526,845,995,2902,7092,11504
48,48,48,Brunswick West,6447,774.0,1657.0,6145.0,3297.0,2271.0,135,222,446,795,786,597,1031,933,2696,8728,14159
49,49,49,Bulleen,6707,557.0,1699.0,2493.0,2976.0,3150.0,93,140,297,442,507,578,693,768,1318,5931,10873
50,50,50,Bullengarook,6717,31.0,140.0,112.0,210.0,145.0,3,19,25,23,61,27,38,55,72,521,645
51,51,51,Bundoora,6877,1449.0,4795.0,9986.0,6673.0,5778.0,231,677,1137,1502,1582,1550,1901,1382,2660,15575,28653
52,52,52,Burnley,7117,46.0,71.0,417.0,160.0,88.0,3,10,16,47,42,34,65,81,196,553,769
53,53,53,Burnside,7137,306.0,1015.0,1206.0,1308.0,911.0,51,275,296,240,257,202,283,148,286,2414,4751
54,54,54,Burnside Heights,48297,726.0,1494.0,2107.0,1371.0,374.0,41,294,302,292,369,253,414,262,507,3013,6072
55,55,55,Burwood,7237,653.0,2594.0,5862.0,3028.0,2894.0,107,159,454,699,509,703,796,872,1823,7028,15019
56,56,56,Burwood East,7327,490.0,1540.0,2985.0,2517.0,2743.0,80,147,401,452,479,492,636,547,1232,4925,10273
57,57,57,Cairnlea,7527,678.0,2283.0,2804.0,2829.0,1072.0,101,511,606,363,513,477,637,419,753,4369,9657
58,58,58,Camberwell,7677,1002.0,4419.0,5211.0,6005.0,5437.0,154,113,307,873,563,956,1327,2001,4171,14746,22081
59,59,59,Campbellfield,7717,328.0,1021.0,1397.0,1159.0,1155.0,47,189,237,196,275,141,142,83,130,2139,5056
60,60,60,Canterbury,7907,319.0,1729.0,1619.0,2245.0,2124.0,60,29,86,275,173,350,451,805,1476,5378,8056
61,61,61,Carlton,8217,435.0,3231.0,11435.0,1959.0,1476.0,86,120,348,836,420,550,705,713,2583,5063,18535
62,62,62,Carlton North,8247,280.0,570.0,3047.0,1363.0,1020.0,59,40,99,362,212,298,451,567,1840,4386,6300
63,63,63,Carnegie,8297,1055.0,2295.0,6939.0,4026.0,3070.0,152,195,438,789,840,825,1188,1230,3001,8702,17388
64,64,64,Caroline Springs,8327,2037.0,6217.0,7088.0,6690.0,2168.0,207,971,936,1129,1465,1177,1801,1433,2228,13621,24205
65,65,65,Carrum,8497,258.0,569.0,1111.0,1128.0,911.0,28,98,146,224,321,161,310,275,426,2830,3980
66,66,66,Carrum Downs,8507,1558.0,3879.0,6097.0,5620.0,3562.0,172,1063,1206,1174,1783,1137,1478,819,1136,14229,20711
67,67,67,Caulfield,8687,306.0,861.0,1536.0,1301.0,1604.0,48,50,92,230,205,232,360,432,944,2949,5595
68,68,68,Caulfield East,8707,59.0,262.0,754.0,304.0,207.0,13,8,45,65,74,77,88,93,215,678,1584
69,69,69,Caulfield North,8747,848.0,2409.0,4895.0,3439.0,3683.0,135,109,246,636,448,622,903,1426,3102,8913,15269
70,70,70,Caulfield South,8787,696.0,2096.0,2988.0,3288.0,2784.0,89,88,215,545,422,564,752,1114,2183,6889,11854
71,71,71,Chadstone,8847,564.0,1170.0,3485.0,1945.0,1489.0,69,159,277,378,490,426,596,554,1199,3987,8641
72,72,72,Chelsea,8927,558.0,1042.0,2104.0,2045.0,2024.0,59,149,257,394,528,324,573,504,887,5267,7773
73,73,73,Chelsea Heights,8937,362.0,1014.0,1298.0,1499.0,1166.0,30,172,219,289,431,294,411,285,485,3748,5335
74,74,74,Cheltenham,8967,1395.0,3754.0,5694.0,6064.0,5388.0,145,345,597,1056,1391,1197,1619,1612,2945,14849,22291
75,75,75,Chirnside Park,9137,580.0,1845.0,2534.0,2647.0,2259.0,56,203,433,572,915,581,810,636,827,7410,9872
76,76,76,Clarinda,9257,350.0,1108.0,2012.0,1939.0,2069.0,62,272,398,315,478,389,504,304,618,3281,7481
77,77,77,Clayton,9327,848.0,3057.0,10928.0,2277.0,2246.0,120,355,674,787,753,676,820,510,1918,4962,19358
78,78,78,Clayton South,9367,847.0,1785.0,4958.0,2597.0,2454.0,103,484,817,556,796,522,653,426,1047,3911,12642
79,79,79,Clifton Hill,9437,405.0,840.0,2304.0,1733.0,1041.0,81,39,101,249,239,195,391,609,1744,4532,6341
80,80,80,Coburg,9707,1653.0,3685.0,9529.0,6743.0,4578.0,213,504,861,1285,1431,1143,1739,1698,4403,16257,26185
81,81,81,Coburg North,9727,579.0,1075.0,2483.0,1969.0,1487.0,62,149,288,334,399,313,475,421,1042,4377,7601
82,82,82,Collingwood,9987,431.0,813.0,4585.0,1833.0,838.0,85,73,188,455,375,320,479,749,1990,4409,8513
83,83,83,Coolaroo,10107,232.0,616.0,858.0,745.0,745.0,31,132,139,114,131,80,93,39,62,1625,3191
84,84,84,Craigieburn,10597,5255.0,11218.0,18121.0,11367.0,4375.0,407,2789,2585,2676,3232,2141,3138,1906,2976,26682,50347
85,85,85,Cranbourne,10627,1540.0,4032.0,5916.0,5188.0,3401.0,162,1071,1225,1052,1578,889,1159,708,815,12504,20094
86,86,86,Cranbourne North,10657,2043.0,4553.0,6671.0,4864.0,1985.0,143,1019,1091,1089,1472,993,1348,877,1297,11204,20110
87,87,87,Cremorne,10737,96.0,142.0,1174.0,454.0,154.0,27,13,29,92,99,94,155,304,565,1367,2018
88,88,88,Croydon,10867,1861.0,4379.0,7583.0,6587.0,6525.0,204,591,1054,1400,1987,1255,1909,1400,2877,19136,26946
89,89,89,Croydon Hills,10877,258.0,1139.0,1129.0,1595.0,867.0,29,81,189,286,398,343,483,395,621,4052,4992
90,90,90,Croydon North,10887,511.0,1505.0,1940.0,2249.0,1666.0,56,147,255,450,596,495,655,566,920,6113,7860
91,91,91,Croydon South,10897,348.0,806.0,1270.0,1184.0,957.0,38,110,184,238,401,217,325,255,496,3489,4572
92,92,92,Dallas,11087,597.0,1560.0,2036.0,1551.0,1049.0,48,263,260,271,248,151,143,113,155,2942,6810
93,93,93,Dandenong,11157,2421.0,4976.0,11494.0,6401.0,4619.0,305,1422,2049,1135,2114,867,918,651,1140,8378,29906
94,94,94,Dandenong North,11187,1401.0,3978.0,6425.0,5592.0,5063.0,165,936,1191,963,1586,906,1200,696,1248,9499,22451
95,95,95,Deepdene,11487,66.0,371.0,421.0,516.0,662.0,14,5,24,68,49,85,114,174,368,1326,2035
96,96,96,Deer Park,11507,1529.0,3291.0,6000.0,4192.0,3123.0,199,1056,1075,864,956,605,966,526,899,7737,18126
97,97,97,Delahey,11547,465.0,1592.0,2427.0,2436.0,1408.0,80,518,585,367,471,404,512,248,392,3930,8339
98,98,98,Derrimut,161087,,,,,,,,,,,,,,,,
99,99,99,Diamond Creek,11867,696.0,2597.0,2849.0,3736.0,1871.0,88,200,393,731,1053,678,1055,882,1450,9662,11733
100,100,100,Diggers Rest,11897,173.0,435.0,874.0,749.0,525.0,34,124,128,156,228,133,250,161,203,2028,2763
101,101,101,Dingley Village,11977,496.0,1967.0,2143.0,2965.0,2741.0,72,250,367,423,767,664,862,697,1050,7294,10320
102,102,102,Docklands,12117,557.0,673.0,6677.0,2135.0,920.0,119,74,215,436,372,467,684,1141,2388,2976,10964
103,103,103,Doncaster,12177,944.0,3086.0,5880.0,5151.0,5887.0,187,251,580,840,944,1039,1237,1380,2597,9339,20946
104,104,104,Doncaster East,12227,1480.0,5123.0,6914.0,7513.0,7322.0,205,357,737,1177,1314,1416,1882,1860,3630,13692,28360
105,105,105,Donvale,12247,627.0,2294.0,2579.0,3424.0,3416.0,87,143,295,484,548,647,854,982,1676,7819,12347
106,106,106,Doreen,12307,2435.0,4955.0,6773.0,5023.0,2111.0,181,573,790,1251,1848,1102,1676,1311,1851,17248,21298
107,107,107,Doveton,12367,682.0,1714.0,3105.0,2122.0,1757.0,75,454,654,358,665,246,270,155,226,3553,9358
108,108,108,Eaglemont,13037,154.0,766.0,801.0,1151.0,995.0,24,14,67,123,133,194,305,348,768,2838,3873
109,109,109,East Melbourne,13127,152.0,241.0,2189.0,1149.0,1232.0,46,21,61,217,113,161,353,596,1461,3112,4964
110,110,110,Edithvale,13457,409.0,957.0,1539.0,1686.0,1227.0,47,114,164,285,417,270,440,432,719,4274,5806
111,111,111,Elsternwick,13627,631.0,1841.0,3062.0,2799.0,2020.0,89,68,183,424,372,460,684,997,2110,6735,10349
112,112,112,Eltham,13677,975.0,3845.0,3708.0,5769.0,4019.0,102,198,441,953,1157,856,1429,1571,2873,14431,18314
113,113,113,Eltham North,13687,404.0,1510.0,1449.0,2197.0,1240.0,37,110,204,392,464,361,569,582,1028,5518,6805
114,114,114,Elwood,13717,842.0,1777.0,6504.0,4581.0,1858.0,151,115,262,863,746,754,1089,1769,3723,10093,15543
115,115,115,Emerald,13747,339.0,1180.0,1112.0,1840.0,1310.0,29,159,248,307,583,220,385,373,562,4477,5778
116,116,116,Endeavour Hills,13797,1504.0,4479.0,6732.0,6648.0,4940.0,210,961,1195,1111,1763,1139,1587,1070,1960,11366,24294
117,117,117,Epping,13867,2825.0,6208.0,10825.0,7975.0,4567.0,280,1589,1762,1728,2063,1647,2077,1174,2052,17591,32395
118,118,118,Essendon,13957,1002.0,3543.0,6398.0,5679.0,3968.0,191,300,584,1016,981,1053,1708,1713,3453,14438,20596
119,119,119,Essendon North,13977,137.0,439.0,1069.0,777.0,569.0,34,57,87,161,184,175,239,199,426,1857,2987
120,120,120,Essendon West,13997,70.0,310.0,345.0,406.0,317.0,5,23,34,73,71,81,105,123,195,1112,1439
121,121,121,Fairfield,14197,359.0,934.0,2416.0,1787.0,1058.0,66,93,169,339,301,262,432,533,1343,4470,6558
122,122,122,Fawkner,14297,1157.0,2631.0,4316.0,2927.0,3005.0,116,464,602,603,742,472,566,422,944,6335,14043
123,123,123,Ferntree Gully,14407,1666.0,4624.0,7168.0,7175.0,5789.0,233,845,1169,1430,2257,1352,2072,1392,2523,19081,26428
124,124,124,Fitzroy,14527,546.0,952.0,5015.0,2474.0,1466.0,104,83,202,526,324,374,496,898,2411,5555,10445
125,125,125,Fitzroy North,14567,522.0,1460.0,5054.0,3084.0,2219.0,111,84,160,656,488,430,766,1156,3194,8302,12339
126,126,126,Flemington,14617,510.0,1243.0,3070.0,1784.0,1106.0,53,119,231,384,210,265,418,406,1233,4044,7719
127,127,127,Footscray,14717,925.0,1549.0,8378.0,3332.0,2166.0,162,410,835,967,827,772,985,890,2387,7144,16345
128,128,128,Forest Hill,14827,608.0,1784.0,2776.0,2789.0,2658.0,70,173,343,452,537,526,688,625,1365,6006,10626
129,129,129,Frankston,14947,2294.0,5712.0,10385.0,9258.0,8456.0,292,1077,1659,2083,2655,1749,1954,1451,2725,24841,36097
130,130,130,Frankston North,15007,387.0,961.0,1537.0,1487.0,1389.0,31,233,362,239,334,175,179,117,154,3862,5762
131,131,131,Frankston South,15027,1031.0,3514.0,3578.0,5205.0,4871.0,112,300,557,921,1261,1047,1174,1318,2079,13356,18199
132,132,132,Gardenvale,15237,59.0,134.0,366.0,251.0,196.0,9,17,29,53,55,51,75,91,198,619,1006
133,133,133,Gisborne,15737,697.0,1939.0,1961.0,2569.0,1834.0,51,195,283,473,686,385,647,591,1036,7297,8999
134,134,134,Gladstone Park,15787,483.0,1334.0,2067.0,2025.0,2434.0,69,325,369,384,507,377,635,319,487,5028,8338
135,135,135,Glen Huntly,15877,309.0,537.0,2446.0,1005.0,746.0,47,68,170,264,266,222,334,333,947,1920,5040
136,136,136,Glen Iris,15907,1325.0,5110.0,6972.0,7014.0,4852.0,200,149,427,995,789,1126,1731,2556,5155,17518,25268
137,137,137,Glen Waverley,15957,1738.0,8078.0,9965.0,10857.0,9695.0,323,506,1132,1494,1593,1779,2401,2525,5565,16488,40327
138,138,138,Glenroy,16477,1642.0,3357.0,8180.0,4723.0,4344.0,175,736,1161,1058,1482,819,1233,813,1806,10945,22245
139,139,139,Gowanbrae,16877,221.0,558.0,722.0,762.0,502.0,13,74,84,124,161,136,237,200,320,1979,2773
140,140,140,Greensborough,17297,1341.0,3795.0,5324.0,5676.0,4700.0,137,342,615,1128,1481,995,1669,1337,2824,15788,20821
141,141,141,Greenvale,17317,983.0,3306.0,4374.0,4595.0,2218.0,178,524,637,645,1160,976,1329,1091,1318,10051,15466
142,142,142,Hadfield,17537,379.0,937.0,1585.0,1310.0,1375.0,41,192,205,220,384,192,317,214,408,3316,5610
143,143,143,Hallam,17567,758.0,2081.0,3182.0,2729.0,2096.0,95,522,643,534,715,439,609,347,597,4587,10852
144,144,144,Hampton,17737,707.0,3020.0,2460.0,4380.0,2825.0,79,69,181,596,402,573,786,1541,2148,9105,13391
145,145,145,Hampton East,17757,335.0,786.0,1203.0,1386.0,983.0,23,72,107,233,207,230,306,382,666,3020,4689
146,146,146,Hampton Park,17807,2014.0,5675.0,7814.0,6724.0,3301.0,243,1565,1808,1300,1834,922,1357,605,974,10637,25530
147,147,147,Hawthorn,18087,1023.0,3450.0,10593.0,4892.0,3551.0,196,146,516,1179,740,1121,1593,2117,5302,14239,23511
148,148,148,Hawthorn East,18117,776.0,2282.0,5413.0,3312.0,2547.0,115,100,237,638,445,651,941,1360,3157,9100,14321
149,149,149,Healesville,18247,444.0,1341.0,1474.0,2140.0,2060.0,76,206,396,408,593,250,355,455,546,5776,7461
150,150,150,Heathmont,18347,695.0,1816.0,2363.0,2693.0,2118.0,50,163,296,500,618,458,676,692,1376,7292,9688
151,151,151,Heidelberg,18387,464.0,939.0,1983.0,1536.0,1306.0,40,67,141,247,273,251,395,478,1218,4161,6225
152,152,152,Heidelberg Heights,18397,419.0,861.0,2106.0,1555.0,1122.0,60,128,232,321,382,229,374,300,920,3859,6087
153,153,153,Heidelberg West,18427,421.0,1017.0,1760.0,1314.0,1036.0,44,164,250,271,269,142,208,114,362,2986,5545
154,154,154,Highett,18717,787.0,1814.0,2679.0,3106.0,2072.0,61,144,252,493,553,514,760,890,1524,6911,10454
155,155,155,Hillside,18837,1132.0,4280.0,4688.0,5158.0,1799.0,127,715,793,850,1347,1051,1431,910,1294,11294,17056
156,156,156,Hoppers Crossing,19067,2594.0,7715.0,11089.0,10678.0,6617.0,344,2125,1998,2034,2563,1930,2723,1420,2438,22778,38701
